SYMBOL,NAME,SECTOR,PRICE,PRICE_EARNINGS,DIVIDEND_YIELD,EARNINGS_SHARE,WEEK_LOW,WEEK_HIGH,MARKET_CAP,EBITDA,PRICE_SALES,PRICE_BOOK,SEC_FILINGS
ADSK,Autodesk,Application Software,296,59,,5,195,327,63697993728.00,1396000000,11,34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
ADP,Automatic Data Processing,Human Resource & Employment Services,293,31,0,9,231,310,119274889216.00,5733100032,6,22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
AZO,AutoZone,Automotive Retail,3202,21,,149,2510,3417,53736603648.00,4338463232,3,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVB,AvalonBay Communities,Multi-Family Residential REITs,220,30,0,7,169,239,31287871488.00,1808050944,11,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,187,22,0,8,185,233,15035222016.00,1416300032,2,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
AXON,Axon Enterprise,Aerospace & Defense,594,154,,4,242,699,45319753728.00,183220000,23,22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXON
BKR,Baker Hughes,Oil & Gas Equipment & Services,41,18,0,2,28,45,40590356480.00,4336999936,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKR
BALL,Ball Corporation,"Metal, Glass & Plastic Containers",55,23,0,2,54,71,16452225024.00,2092999936,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BALL
BAC,Bank of America,Diversified Banks,44,16,0,3,31,48,337223090176.00,,4,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
BAX,Baxter International,Health Care Equipment,29,117,0,0,28,44,14888745984.00,2744000000,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BDX,Becton Dickinson,Health Care Equipment,227,39,0,6,219,250,65794113536.00,5109000192,3,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BBY,Best Buy,Computer & Electronics Retail,86,15,0,6,69,104,18343698432.00,2673999872,0,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
TECH,Bio-Techne,Life Sciences Tools & Services,72,76,0,1,61,86,11444990976.00,308515008,10,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TECH
BIIB,Biogen,Biotechnology,153,14,,11,145,268,22283350016.00,2884999936,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK,BlackRock,Asset Management & Custody Banks,1025,25,0,40,746,1082,158768021504.00,7673999872,8,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
BX,Blackstone Inc.,Asset Management & Custody Banks,172,59,0,3,115,201,209124769792.00,,19,19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BX
BK,BNY Mellon,Asset Management & Custody Banks,77,17,0,4,52,83,55861403648.00,,3,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
BA,Boeing,Aerospace & Defense,177,,,-13,137,259,132427153408.00,-3991000064,2,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines",4968,34,0,148,3180,5337,164438310912.00,7183000064,7,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKNG
BWA,BorgWarner,Automotive Parts & Equipment,32,8,0,4,30,38,6952473088.00,1882000000,0,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BSX,Boston Scientific,Health Care Equipment,89,74,,1,57,92,131642499072.00,4063000064,8,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BMY,Bristol Myers Squibb,Pharmaceuticals,57,,0,-4,39,61,114713862144.00,19161999360,2,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO,Broadcom,Semiconductors,232,178,0,1,104,252,1086717493248.00,22958000128,23,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,226,39,0,6,188,238,26427432960.00,1545799936,4,12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BR
BRO,Brown & Brown,Insurance Brokers,102,28,0,4,69,114,29173436416.00,1528300032,6,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRO
BLDR,Builders FirstSource,Building Products,143,14,,10,131,215,16449097728.00,2349128960,1,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLDR
BG,Bunge Global,Agricultural Products & Services,78,10,0,8,76,115,10857396224.00,2486000128,0,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BG
BXP,"BXP, Inc.",Office REITs,74,32,0,2,56,90,13115170816.00,1870726016,4,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
CHRW,C.H. Robinson,Air Freight & Logistics,103,36,0,3,65,115,12212940800.00,673996992,1,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
CDNS,Cadence Design Systems,Application Software,300,79,,4,241,329,82405064704.00,1450493056,19,18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CZR,Caesars Entertainment,Casinos & Gaming,33,,,-2,32,49,7101081088.00,3668000000,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CZR
CPT,Camden Property Trust,Multi-Family Residential REITs,116,37,0,3,91,128,12379262976.00,893276992,8,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPT
CPB,Campbell Soup Company,Packaged Foods & Meats,42,23,0,2,40,53,12484804608.00,1783000064,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF,Capital One,Consumer Finance,178,17,0,11,123,198,68030869504.00,,3,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH,Cardinal Health,Health Care Distributors,118,23,0,5,93,126,28622522368.00,2924000000,0,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
KMX,CarMax,Automotive Retail,82,28,,3,66,91,12583518208.00,926968000,0,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX
CCL,Carnival,"Hotels, Resorts & Cruise Lines",25,17,,1,14,27,32595359744.00,5878000128,1,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CARR,Carrier Global,Building Products,68,40,0,2,53,83,61244719104.00,3318000128,2,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CARR
CTLT,Catalent,Pharmaceuticals,63,,,-2,42,64,11522381824.00,462000000,3,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTLT
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,363,17,0,22,277,419,175141257216.00,15818999808,3,9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CBOE,Cboe Global Markets,Financial Exchanges & Data,195,27,0,7,166,222,20455643136.00,1290400000,5,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
CBRE,CBRE Group,Real Estate Services,131,42,,3,83,142,40177098752.00,2213600000,1,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBRE
CDW,CDW,Technology Distributors,174,21,0,8,171,263,23193266176.00,1996300032,1,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDW
CE,Celanese,Specialty Chemicals,69,7,0,10,67,172,7565483520.00,1851000064,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CE
COR,Cencora,Health Care Distributors,225,30,0,8,205,253,43426148352.00,4303009792,0,56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR
CNC,Centene Corporation,Managed Health Care,61,10,,6,55,81,30584721408.00,5919000064,0,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
CNP,CenterPoint Energy,Multi-Utilities,32,21,0,2,25,33,20679297024.00,3081999872,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
CF,CF Industries,Fertilizers & Agricultural Chemicals,85,14,0,6,69,94,14847386624.00,2651000064,2,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
CRL,Charles River Laboratories,Life Sciences Tools & Services,185,23,,8,176,275,9439742976.00,948771008,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRL
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,74,29,0,3,60,83,135479746560.00,,7,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
CHTR,Charter Communications,Cable & Satellite,343,11,,32,236,415,48736407552.00,21500000256,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
CVX,Chevron Corporation,Integrated Oil & Gas,145,16,0,9,135,167,258238119936.00,38942998528,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMG,Chipotle Mexican Grill,Restaurants,60,56,,1,44,69,82164170752.00,2233638912,7,23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
CB,Chubb Limited,Property & Casualty Insurance,276,11,0,24,223,302,111375966208.00,11363000320,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB
CHD,Church & Dwight,Household Products,105,47,0,2,93,114,25653739520.00,1330099968,4,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
CI,Cigna,Health Care Services,276,26,0,11,262,371,76809175040.00,8554999808,0,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
CINF,Cincinnati Financial,Property & Casualty Insurance,144,7,0,19,103,162,22462466048.00,4062000128,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
CTAS,Cintas,Diversified Support Services,183,44,0,4,144,228,73718718464.00,2450383872,8,17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS
CSCO,Cisco,Communications Equipment,59,25,0,2,45,60,235779391488.00,13752000512,4,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
C,Citigroup,Diversified Banks,70,20,0,4,51,73,133125791744.00,,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C
CFG,Citizens Financial Group,Regional Banks,44,17,0,3,30,49,19285073920.00,,3,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG
CLX,Clorox,Household Products,162,57,0,3,128,171,20103272448.00,1371000064,3,335,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX
CME,CME Group,Financial Exchanges & Data,232,24,0,10,191,249,83686858752.00,4209900032,14,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME
CMS,CMS Energy,Multi-Utilities,67,19,0,4,55,72,19914020864.00,2739000064,3,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,62,26,0,2,58,74,268203622400.00,14830999552,6,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
CTSH,Cognizant,IT Consulting & Other Services,77,17,0,5,64,82,38128865280.00,3470000128,2,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
CL,Colgate-Palmolive,Household Products,91,26,0,3,79,109,74274471936.00,4894000128,4,171,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL
CMCSA,Comcast,Cable & Satellite,38,10,0,4,36,47,143610036224.00,37285998592,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA
CAG,Conagra Brands,Packaged Foods & Meats,28,27,0,1,26,33,13245630464.00,2239500032,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG
COP,ConocoPhillips,Oil & Gas Exploration & Production,99,12,0,8,94,135,128282345472.00,24445999104,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
ED,Consolidated Edison,Multi-Utilities,89,17,0,5,86,108,30914447360.00,5555999744,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED
STZ,Constellation Brands,Distillers & Vintners,221,71,0,3,220,275,40130727936.00,3887300096,4,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ
CEG,Constellation Energy,Electric Utilities,224,25,0,9,109,289,69969108992.00,5997000192,3,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CEG
COO,Cooper Companies (The),Health Care Supplies,92,47,0,2,85,112,18347665408.00,1023000000,5,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COO
CPRT,Copart,Diversified Support Services,57,40,,1,46,64,55296872448.00,1754322944,13,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPRT
GLW,Corning Inc.,Electronic Components,48,250,0,0,30,51,40687054848.00,2607000064,3,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW
CPAY,Corpay,Transaction & Payment Processing Services,338,24,,14,247,385,23591598080.00,2066438016,6,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPAY
CTVA,Corteva,Fertilizers & Agricultural Chemicals,57,59,0,1,44,64,39148208128.00,3014000128,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTVA
CSGP,CoStar Group,Real Estate Services,72,170,,0,68,100,29349033984.00,170300000,11,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSGP
COST,Costco,Consumer Staples Merchandise Retail,916,54,0,17,641,1008,406731358208.00,11521999872,2,17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
CTRA,Coterra,Oil & Gas Exploration & Production,26,15,0,2,22,29,18808805376.00,3448999936,3,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTRA
CRWD,CrowdStrike,Systems Software,342,658,,1,201,398,84277772288.00,187490000,24,36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRWD
CCI,Crown Castle,Telecom Tower REITs,91,32,0,3,89,121,39444115456.00,3993999872,6,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI
CSX,CSX Corporation,Rail Transportation,32,17,0,2,31,40,62230114304.00,7191000064,4,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSX
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,349,23,0,15,227,388,47821647872.00,4582000128,1,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI
CVS,CVS Health,Health Care Services,45,11,0,4,44,83,56490024960.00,14115000320,0,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
DHI,D. R. Horton,Homebuilding,140,10,0,14,133,200,44858310656.00,6202899968,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHI
DHR,Danaher Corporation,Life Sciences Tools & Services,230,43,0,5,223,282,165798232064.00,7511000064,7,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR
DRI,Darden Restaurants,Restaurants,187,21,0,9,136,189,21936074752.00,1789500032,2,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI
DVA,DaVita,Health Care Services,150,16,,9,103,170,12266689536.00,2657765120,1,32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVA
DAY,Dayforce,Human Resource & Employment Services,73,214,,0,47,83,11455328256.00,252100000,7,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAY
DECK,Deckers Brands,Footwear,203,36,,6,109,215,30853838848.00,1145432064,7,14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DECK
DE,Deere & Company,Agricultural & Farm Machinery,424,17,0,26,340,469,115066331136.00,14364000256,2,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE
DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals",115,20,0,6,74,180,80720896000.00,8725999616,1,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DELL
DAL,Delta Air Lines,Passenger Airlines,61,8,0,7,36,68,39039500288.00,8415000064,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL
DVN,Devon Energy,Oil & Gas Exploration & Production,33,6,0,5,30,55,21500336128.00,7622000128,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN
DXCM,Dexcom,Health Care Equipment,78,47,,2,62,142,30376572928.00,840400000,8,15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXCM
FANG,Diamondback Energy,Oil & Gas Exploration & Production,164,9,0,17,148,215,47836557312.00,6817999872,5,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FANG
DLR,Digital Realty,Data Center REITs,177,144,0,1,130,198,59956867072.00,2337596928,11,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLR
DFS,Discover Financial,Consumer Finance,173,12,0,15,96,188,43520053248.00,,4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFS
DG,Dollar General,Consumer Staples Merchandise Retail,76,13,0,6,72,168,16674789376.00,3025478912,0,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
DLTR,Dollar Tree,Consumer Staples Merchandise Retail,75,,,-5,60,151,16115023872.00,2604699904,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
D,Dominion Energy,Multi-Utilities,54,20,0,3,44,62,45242937344.00,7032000000,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
DPZ,Domino's,Restaurants,420,26,0,16,395,543,14495153152.00,921121024,3,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPZ
DOV,Dover Corporation,Industrial Machinery & Supplies & Components,188,17,0,11,144,208,25737220096.00,1765938048,3,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
DOW,Dow Inc.,Commodity Chemicals,40,27,0,2,39,61,28094693376.00,4851999744,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOW
